sample,fastq_1,fastq_2
SRR413665,/Users/sanyabadole/Desktop/reproducible_bioinformatics/Project/rxbiome/raw_data/SRR413665_1.fastq.gz,/Users/sanyabadole/Desktop/reproducible_bioinformatics/Project/rxbiome/raw_data/SRR413665_2.fastq.gz
SRR413666,/Users/sanyabadole/Desktop/reproducible_bioinformatics/Project/rxbiome/raw_data/SRR413666_1.fastq.gz,/Users/sanyabadole/Desktop/reproducible_bioinformatics/Project/rxbiome/raw_data/SRR413666_2.fastq.gz
